พื้นที่,เนื้อที่ยืนต้นทั้งหมด,,,ผลผลิตที่เก็บเกี่ยวได้
,(ไร่),,,(กิโลกรัม)
,ให้ผลผลิต,ยังไม่ให้ผล,รวม (ไร่),
,,,,
ลำไย,"7,129.75",16,"7,145.75","247,580.00"
ลิ้นจี่,4,0,4,"1,200.00"
แก้วมังกร,87,14,101,"15,000.00"
ไม้ยืนต้น,"5,529.75","2,183.00","7,712.75","905,794.00"
ปาล์มน้ำมัน,164.75,0,164.75,"423,060.00"
ยางพารา,"5,365.00","2,183.00","7,548.00","482,734.00"
ปง,"25,524.00","15,257.00","40,781.00","18,965,749.00"
ไม้ผล,"6,508.00","1,197.00","7,705.00","4,698,927.00"
กล้วยน้ำว้า,134,105,239,"763,700.00"
กล้วยหอม,12,43,55,"37,500.00"
ขนุนหนัง,34,19,53,"30,200.00"
ฝรั่ง,5,0,5,"28,000.00"
มะขาม,264,94,358,"54,900.00"
มะนาว,100,28,128,"98,200.00"
มะม่วง,302,367,669,"151,750.00"
มะละกอ,46,33,79,"252,302.00"
ลำไย,"2,479.00",226,"2,705.00","1,697,000.00"
ลิ้นจี่,"3,103.00",220,"3,323.00","1,547,375.00"
ส้มเขียวหวาน,4,37,41,"8,000.00"
เสาวรส,25,25,50,"30,000.00"
ไม้ยืนต้น,"19,012.00","13,859.00","32,871.00","14,266,822.00"
กาแฟ,543,"1,053.00","1,596.00",0
ปาล์มน้ำมัน,441,417,858,"6,641,000.00"
ยางพารา,"17,742.00","8,687.00","26,429.00","6,931,022.00"
ไม้สัก,0,"3,460.00","3,460.00",0
ไผ่,273,172,445,"694,800.00"
ไม้ยืนต้นอื่นๆ,13,70,83,0
สมุนไพรและเครื่องเทศ (รต.02),4,201,205,0
กฤษณา,0,56,56,0
สมุนไพรอื่นๆ,4,145,149,0
แม่ใจ,"13,897.00","4,746.75","18,643.75","4,009,000.00"
ไม้ผล,"12,517.00",474,"12,991.00","4,009,000.00"
กระท้อน,136,0,136,0
เงาะ,13,29,42,0
มะม่วง,164,0,164,0
ลำไย,"2,680.00",1,"2,681.00",0
ลิ้นจี่,"9,510.00",441,"9,951.00","4,009,000.00"
แก้วมังกร,14,3,17,0
ไม้ยืนต้น,"1,380.00","4,272.75","5,652.75",0
กาแฟ,518,0,518,0
ปาล์มน้ำมัน,0,10,10,0
ยางพารา,862,"4,262.75","5,124.75",0
ภูซาง,"57,612.00","8,829.00","66,441.00","104,033,500.00"
ไม้ผล,"5,102.00",319,"5,421.00","12,701,150.00"
กล้วยน้ำว้า,20,10,30,"27,150.00"
เงาะ,54,0,54,"16,200.00"
มะม่วง,922,145,"1,067.00","904,000.00"
มะละกอ,2,2,4,200
ลำไย,"4,091.00",122,"4,213.00","11,740,500.00"
ลิ้นจี่,0,27,27,0
แก้วมังกร,13,13,26,"13,100.00"
ไม้ยืนต้น,"52,510.00","8,510.00","61,020.00","91,332,350.00"
ปาล์มน้ำมัน,344,165,509,"7,429,850.00"
ยางพารา,"51,956.00","8,210.00","60,166.00","83,762,500.00"
ไม้สัก,0,75,75,0
ไผ่,210,60,270,"140,000.00"
ภูกามยาว,"3,147.00","5,202.00","8,349.00","483,950.00"
ไม้ผล,"2,405.00",958,"3,363.00","482,950.00"
กระท้อน,10,20,30,0
กล้วยน้ำว้า,45,41,86,"3,700.00"
น้อยหน่า,135,0,135,"2,800.00"
ฝรั่ง,31,10,41,0
พุทรา,12,0,12,0
มะขาม,185,0,185,0
มะม่วง,149,20,169,0
มะละกอ,65,10,75,750
ลำไย,"1,738.00",857,"2,595.00","475,200.00"
แก้วมังกร,35,0,35,500
ไม้ยืนต้น,696,"4,230.00","4,926.00",600
ปาล์มน้ำมัน,80,0,80,0
ยางพารา,211,"1,849.00","2,060.00",600
ยูคาลิปตัส,0,320,320,0
ไม้สัก,0,"1,600.00","1,600.00",0
ไผ่,405,461,866,0
สมุนไพรและเครื่องเทศ (รต.02),46,14,60,400
สมุนไพรอื่นๆ,46,14,60,400
พังงา,"840,386.59","223,962.64","1,064,349.23","1,739,885,947.94"
เมืองพังงา,"78,312.00","15,325.50","93,637.50","85,322,174.13"
ไม้ผล,"1,320.00",0,"1,320.00","2,568,420.00"
เงาะ,335,0,335,"629,775.00"
ทุเรียน,94,0,94,"234,995.00"
มังคุด,626,0,626,"867,840.00"
ลองกอง,265,0,265,"835,810.00"
ไม้ยืนต้น,"76,984.00","15,325.50","92,309.50","82,752,391.13"
ปาล์มน้ำมัน,"6,110.00","3,645.50","9,755.50","69,359,780.00"
ยางพารา,"70,658.00","11,678.00","82,336.00","13,028,770.13"
ผักเหลียง(ผักเหมียง),216,2,218,"363,841.00"
สมุนไพรและเครื่องเทศ (รต.02),8,0,8,"1,363.00"
จันทร์เทศ,8,0,8,"1,363.00"
เกาะยาว,"13,849.00","4,614.00","18,463.00","575,878.50"
ไม้ผล,47,83,130,475
เงาะ,8,13,21,80
ทุเรียน,22,53,75,315
มังคุด,7,7,14,80
ลองกอง,10,10,20,0
ไม้ยืนต้น,"13,802.00","4,531.00","18,333.00","575,403.50"
ปาล์มน้ำมัน,261,11,272,"170,752.00"
มะพร้าว,554,226,780,"38,005.00"
มะม่วงหิมพานต์,74,79,153,"5,120.00"
ยางพารา,"12,811.00","4,134.00","16,945.00","259,226.50"
สะตอ,102,81,183,"102,300.00"
กะปง,"129,433.00","53,574.00","183,007.00","429,053,002.00"
ไม้ผล,"8,970.00",924,"9,894.00","6,025,452.00"
กล้วยน้ำว้า,23,7,30,900
เงาะ,"1,329.00",369,"1,698.00","298,790.00"
จำปาดะ,147,72,219,"169,100.00"
ทุเรียน,"1,471.00",169,"1,640.00","1,576,000.00"
มะละกอ,10,0,10,"34,560.00"
มังคุด,"4,875.00",248,"5,123.00","3,487,802.00"
ลองกอง,"1,084.00",57,"1,141.00","443,800.00"
ละไม,12,0,12,"5,100.00"
ลางสาด,19,2,21,"9,400.00"
ไม้ยืนต้น,"120,463.00","52,650.00","173,113.00","423,027,550.00"
ปาล์มน้ำมัน,"35,830.00","31,306.00","67,136.00","363,402,402.00"
มะพร้าว,57,9,66,"63,950.00"
ยางพารา,"84,211.00","21,271.00","105,482.00","59,493,839.00"
สะตอ,324,22,346,"6,700.00"
ผักเหลียง(ผักเหมียง),41,42,83,"60,659.00"
ตะกั่วทุ่ง,"181,205.00","21,837.00","203,042.00","36,823,002.31"
ไม้ผล,"2,717.00",611,"3,328.00","1,311,848.00"
กล้วยน้ำว้า,32,38,70,"5,595.00"
เงาะ,409,15,424,"83,114.00"
จำปาดะ,37,0,37,"20,000.00"
ทุเรียน,729,215,944,"659,439.00"
มังคุด,"1,040.00",266,"1,306.00","431,216.00"
ลองกอง,468,77,545,"111,924.00"
ลางสาด,2,0,2,560
ไม้ยืนต้น,"178,488.00","21,226.00","199,714.00","35,511,154.31"
ปาล์มน้ำมัน,"14,752.00","6,393.00","21,145.00","23,122,267.92"
มะพร้าว,"1,697.00",5,"1,702.00","5,449,103.00"
ยางพารา,"161,076.00","14,723.00","175,799.00","6,125,139.39"
สะตอ,446,77,523,"273,754.00"
ผักเหลียง(ผักเหมียง),517,28,545,"540,890.00"
ตะกั่วป่า,"80,182.50","34,844.50","115,027.00","386,064,387.46"
ไม้ผล,"5,655.25","6,260.75","11,916.00","6,112,020.00"
กล้วยน้ำว้า,11,30,41,"101,310.00"
ขนุนหนัง,31.5,0,31.5,"43,000.00"
เงาะ,978,"1,198.00","2,176.00","657,700.00"
จำปาดะ,117.25,4.25,121.5,"240,845.00"
ทุเรียน,"1,086.00","1,506.00","2,592.00","1,472,820.00"
มะนาว,20,16,36,"172,065.00"
มะละกอ,6,2,8,"27,420.00"
มังคุด,"1,322.00","1,090.00","2,412.00","1,961,670.00"
ลองกอง,"1,891.00","2,329.00","4,220.00","1,308,330.00"
ละไม,168,64,232,"119,840.00"
ลางสาด,12,14,26,"7,020.00"
ไม้ผลอื่นๆ,12.5,7.5,20,0
ไม้ยืนต้น,"74,522.25","28,582.75","103,105.00","379,938,252.46"
กระถินเทพา,0,73,73,0
ปาล์มน้ำมัน,"10,800.00","8,920.00","19,720.00","271,336,100.00"
มะพร้าว,"1,215.25",470.75,"1,686.00","3,607,464.46"
มะม่วงหิมพานต์,211,40,251,0
ยางพารา,"61,325.00","17,399.00","78,724.00","104,250,148.00"
สะตอ,906,"1,618.00","2,524.00","682,730.00"
หมาก,54,45,99,"1,160.00"
ผักเหลียง(ผักเหมียง),11,17,28,"60,650.00"
สมุนไพรและเครื่องเทศ (รต.02),5,1,6,"14,115.00"
พริกไทย,5,1,6,"14,115.00"
คุระบุรี,"147,056.50","48,532.25","195,588.75","600,429,352.50"
ไม้ผล,"5,087.50",939.75,"6,027.25","2,432,150.00"
กระท้อน,7,8,15,"7,200.00"
กล้วยน้ำว้า,55,88,143,"76,800.00"
กล้วยหอม,52,68,120,"116,150.00"
ขนุนหนัง,10,3,13,0
เงาะ,510,585,"1,095.00","572,500.00"
จำปาดะ,65,1,66,"15,000.00"
ทุเรียน,956,58,"1,014.00","483,800.00"
มะนาว,27.5,7.75,35.25,"44,650.00"
มะละกอ,23,49,72,"46,300.00"
มังคุด,"2,328.00",72,"2,400.00","750,000.00"
ลองกอง,"1,026.00",0,"1,026.00","240,000.00"
ส้มเขียวหวาน,28,0,28,"79,750.00"
ไม้ยืนต้น,"141,969.00","47,592.50","189,561.50","597,997,202.50"
กาแฟ,14,0,14,0
ปาล์มน้ำมัน,"49,707.00","15,640.00","65,347.00","556,383,840.00"
มะพร้าว,"3,483.00",115,"3,598.00","4,735,750.00"
มะม่วงหิมพานต์,"2,098.00",145,"2,243.00","320,000.00"
ยางพารา,"80,233.00","31,439.00","111,672.00","35,157,292.50"
สะตอ,"4,222.00",0,"4,222.00","210,005.00"
หมาก,"1,917.75",44,"1,961.75","992,400.00"
ไผ่,10,0.5,10.5,"4,500.00"
หม่อน,2.25,7.5,9.75,80
ผักเหลียง(ผักเหมียง),282,201.5,483.5,"193,335.00"
ทับปุด,"77,810.59","16,341.39","94,151.98","131,010,662.84"
ไม้ผล,"1,028.59",262.39,"1,290.98","786,700.00"
เงาะ,102.6,13.3,115.9,"116,600.00"
ทุเรียน,211.55,180.23,391.78,"107,100.00"
มังคุด,299.44,32.69,332.13,"230,000.00"
ลองกอง,415,36.17,451.17,"333,000.00"
ไม้ยืนต้น,"76,782.00","16,079.00","92,861.00","130,223,962.84"
ปาล์มน้ำมัน,"44,264.00","4,437.00","48,701.00","122,005,042.00"
มะพร้าว,121,14,135,"290,400.00"
ยางพารา,"32,248.00","11,628.00","43,876.00","7,645,760.84"
สะตอ,51,0,51,"111,200.00"
ผักเหลียง(ผักเหมียง),98,0,98,"171,560.00"
ท้ายเหมือง,"132,538.00","28,894.00","161,432.00","70,607,488.20"
ไม้ผล,"5,413.00",190,"5,603.00","3,101,052.00"
เงาะ,"1,351.00",77,"1,428.00","1,372,517.00"
จำปาดะ,31,0,31,"1,550.00"
ทุเรียน,516,67,583,"118,825.00"
มะนาว,22,33,55,"33,415.00"
มะละกอ,30,3,33,"46,050.00"
มังคุด,"1,632.00",0,"1,632.00","1,487,750.00"
ลองกอง,"1,696.00",0,"1,696.00","34,350.00"
ลางสาด,115,0,115,"6,595.00"
ลำไย,20,10,30,0
ไม้ยืนต้น,"127,125.00","28,704.00","155,829.00","67,506,436.20"
ปาล์มน้ำมัน,"17,557.00","4,163.00","21,720.00","51,058,565.00"
มะพร้าว,"1,346.00",314,"1,660.00","712,677.00"
มะม่วงหิมพานต์,84,20,104,"70,350.00"
ยางพารา,"107,379.00","23,703.00","131,082.00","15,476,305.20"
สะตอ,59,3,62,"25,995.00"
หมาก,186,0,186,"35,020.00"
ผักเหลียง(ผักเหมียง),514,501,"1,015.00","127,524.00"
พัทลุง,"979,187.15","234,698.43","1,213,885.58","310,239,277.91"
เมืองพัทลุง,"61,534.75","16,338.25","77,873.00","27,614,926.90"
ไม้ผล,"2,276.00",555,"2,831.00","3,420,583.70"
กล้วยน้ำว้า,20,0,20,"143,800.00"
เงาะ,360,22,382,"34,638.30"
ชมพู่,5,0,5,"7,860.00"
ทุเรียน,115,44,159,"53,561.80"
ฝรั่ง,5,0,5,"9,450.00"
มะนาว,379,57,436,"2,444,180.00"
มะม่วง,237,15,252,"212,500.00"
มะละกอ,6,13,19,"3,100.00"
มังคุด,752,321,"1,073.00","200,663.80"
ลองกอง,353,58,411,"49,979.80"
สละ,44,25,69,"260,850.00"
ไม้ยืนต้น,"58,963.75","15,488.25","74,452.00","24,033,143.20"
ปาล์มน้ำมัน,"8,690.00","4,473.00","13,163.00","19,095,460.00"
มะพร้าว,781.75,108.25,890,"2,308,002.00"
ยางพารา,"49,466.00","10,886.00","60,352.00","2,604,481.20"
สะตอ,26,21,47,"25,200.00"
สมุนไพรและเครื่องเทศ (รต.02),295,295,590,"161,200.00"
พลู,295,295,590,"161,200.00"
กงหรา,"81,133.00","34,486.00","115,619.00","4,937,443.25"
ไม้ผล,"10,798.00","1,320.00","12,118.00","610,295.00"
เงาะ,"1,104.00",167,"1,271.00","34,115.00"
ทุเรียน,935,243,"1,178.00","78,750.00"
มะนาว,101,4,105,"101,010.00"
มังคุด,"3,965.00",255,"4,220.00","251,130.00"
ลองกอง,"4,588.00",651,"5,239.00","136,290.00"
สละ,105,0,105,"9,000.00"
ไม้ยืนต้น,"70,335.00","33,164.00","103,499.00","4,327,148.25"
ปาล์มน้ำมัน,"1,787.00",352,"2,139.00","2,235,460.00"
มะพร้าว,86,36,122,"39,800.00"
ยางพารา,"68,432.00","32,776.00","101,208.00","2,042,388.25"
สะตอ,10,0,10,"5,000.00"
หมาก,20,0,20,"4,500.00"
สมุนไพรและเครื่องเทศ (รต.02),0,2,2,0
พลู,0,2,2,0
เขาชัยสน,"105,079.05","24,498.18","129,577.23","25,124,910.85"
ไม้ผล,"1,273.36",607,"1,880.36","529,406.00"
เงาะ,253,61,314,"14,560.00"
ทุเรียน,231,101.25,332.25,"78,918.00"
มะนาว,38,0,38,"13,551.00"
มะม่วง,94.17,6,100.17,0
มะละกอ,20,15,35,"25,000.00"
มังคุด,237.94,204.5,442.44,"191,440.00"
ลองกอง,329.25,181.25,510.5,"6,600.00"
สละ,70,38,108,"199,337.00"
ไม้ยืนต้น,"103,805.69","23,891.18","127,696.87","24,595,504.85"
ปาล์มน้ำมัน,"13,727.69","7,296.18","21,023.87","16,175,994.75"
มะพร้าว,20,5,25,"218,949.00"
ยางพารา,"90,047.00","16,584.00","106,631.00","8,199,511.10"
สะตอ,11,6,17,"1,050.00"
ตะโหมด,"65,244.00","15,569.00","80,813.00","11,866,287.86"
ไม้ผล,"2,093.00",698,"2,791.00","2,440,708.05"
กล้วยน้ำว้า,55,15,70,"93,679.00"
กล้วยหอม,72,44,116,"356,246.00"
เงาะ,99,12,111,"6,000.00"
จำปาดะ,4,4,8,"4,000.00"
ทุเรียน,524,506,"1,030.00","931,950.00"
มะละกอ,73,83,156,"268,333.05"
มังคุด,426,34,460,"460,000.00"
ลองกอง,840,0,840,"320,500.00"
ไม้ยืนต้น,"63,151.00","14,871.00","78,022.00","9,425,579.81"
ปาล์มน้ำมัน,640,830,"1,470.00","3,275,055.00"
มะพร้าว,52,12,64,"121,238.00"
ยางพารา,"61,928.00","13,625.00","75,553.00","5,448,890.81"
หมาก,459,391,850,"565,663.00"
ผักเหลียง(ผักเหมียง),72,13,85,"14,733.00"
ควนขนุน,"103,686.00","26,687.50","130,373.50","44,571,367.91"
ไม้ผล,"3,071.00","1,000.50","4,071.50","1,471,429.00"
กระท้อน,200.5,63.5,264,"24,550.00"
ขนุนหนัง,3,9,12,0
เงาะ,683,28,711,"101,210.00"
ทุเรียน,190,164,354,"154,641.00"
มะนาว,151.5,64.5,216,"400,275.00"
มะม่วง,8,15.5,23.5,0
มะละกอ,3,0,3,"5,390.00"
มังคุด,"1,013.00",298,"1,311.00","553,030.00"
ลองกอง,698,183,881,"137,243.00"
ละมุด,22,15,37,0
ส้มโอ,99,160,259,"95,090.00"
ไม้ยืนต้น,"100,615.00","25,687.00","126,302.00","43,099,938.91"
ปาล์มน้ำมัน,"14,826.00","4,358.00","19,184.00","32,355,274.00"
มะพร้าว,"1,249.00",458,"1,707.00","5,931,349.00"
ยางพารา,"84,240.00","20,823.00","105,063.00","4,376,840.91"
สะตอ,87,16,103,"141,590.00"
หมาก,206,27,233,"294,885.00"
ไผ่,7,5,12,0
ปากพะยูน,"76,457.25","36,124.75","112,582.00","45,146,922.58"
ไม้ผล,520.25,251.75,772,"87,066.00"
กระท้อน,31,0,31,0
กล้วยน้ำว้า,77,20,97,"17,530.00"
เงาะ,52.5,7,59.5,"5,000.00"
ทุเรียน,107.75,35.75,143.5,"6,625.00"
ฝรั่ง,17,0,17,"7,300.00"
มะนาว,27,44,71,"22,455.00"
มะม่วง,36,15,51,"10,500.00"
มะละกอ,10,10,20,0
มังคุด,46,10,56,"3,125.00"
ลองกอง,51,98,149,"5,100.00"
ละมุด,50,12,62,"2,009.00"
ส้มเขียวหวาน,3,0,3,"2,422.00"
ส้มโอ,12,0,12,"5,000.00"
ไม้ยืนต้น,"75,937.00","35,873.00","111,810.00","45,059,856.58"
กระถินเทพา,0,42,42,0
ปาล์มน้ำมัน,"16,169.00","4,581.00","20,750.00","40,303,929.03"
มะพร้าว,628,300,928,"293,296.00"
มะม่วงหิมพานต์,6,0,6,0
ยางพารา,"59,121.00","30,763.00","89,884.00","4,458,322.55"
ยูคาลิปตัส,0,110,110,0
สะเดา,0,40,40,0
สะตอ,13,32,45,"4,309.00"
ไผ่,0,5,5,0
ศรีบรรพต,"80,257.00","27,003.00","107,260.00","17,230,486.61"
ไม้ผล,"3,087.00",529,"3,616.00","1,491,800.00"
กล้วยไข่,96,0,96,"154,800.00"
กล้วยน้ำว้า,125,0,125,"240,500.00"
เงาะ,51,5,56,"25,200.00"
ทุเรียน,405,272,677,"119,300.00"
มะนาว,62,20,82,"35,600.00"
มังคุด,"1,803.00",99,"1,902.00","468,500.00"
ลองกอง,445,53,498,"399,900.00"
สละ,100,80,180,"48,000.00"
ไม้ยืนต้น,"77,170.00","26,474.00","103,644.00","15,738,686.61"
ปาล์มน้ำมัน,"1,290.00",745,"2,035.00","10,388,116.00"
มะพร้าว,350,0,350,"244,600.00"
ยางพารา,"75,414.00","25,729.00","101,143.00","5,074,970.61"
หมาก,116,0,116,"31,000.00"
