AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG,province,district
4,650409,ต. บ่อทอง,Bo Thong,6504,อ. บางระกำ,Bang Rakam,65,จ. พิษณุโลก,Phitsanulok,16.631,100.134,พิษณุโลก,บางระกำ
4,400501,ต. ชุมแพ,Chum Phae,4005,อ. ชุมแพ,Chum Phae,40,จ. ขอนแก่น,Khon Kaen,16.526,102.074,ขอนแก่น,ชุมแพ
4,720406,ต. สาลี,Sali,7204,อ. บางปลาม้า,Bang Pla Ma,72,จ. สุพรรณบุรี,Suphan Buri,14.286,100.221,สุพรรณบุรี,บางปลาม้า
4,220501,ต. มะขาม,Makham,2205,อ. มะขาม,Makham,22,จ. จันทบุรี,Chanthaburi,12.677,102.18700000000001,จันทบุรี,มะขาม
4,330415,ต. โนนสำราญ,Non Samran,3304,อ. กันทรลักษ์,Kantharalak,33,จ. ศรีสะเกษ,Si Sa Ket,14.534,104.8,ศรีสะเกษ,กันทรลักษ์
4,320501,ต. กังแอน,Kang Aen,3205,อ. ปราสาท,Prasat,32,จ. สุรินทร์,Surin,14.655999999999999,103.406,สุรินทร์,ปราสาท
4,320716,ต. ทับใหญ่,Thap Yai,3207,อ. รัตนบุรี,Rattanaburi,32,จ. สุรินทร์,Surin,15.41,103.89,สุรินทร์,รัตนบุรี
4,311805,ต. ละลวด,Laluat,3118,อ. ชำนิ,Chamni,31,จ. บุรีรัมย์,Buri Ram,14.78,102.745,บุรีรัมย์,ชำนิ
4,341522,ต. เมืองศรีไค,Mueang Si Khai,3415,อ. วารินชำราบ,Warin Chamrap,34,จ. อุบลราชธานี,Ubon Ratchathani,15.087,104.904,อุบลราชธานี,วารินชำราบ
4,410617,ต. ดอนหายโศก,Don Hai Sok,4106,อ. หนองหาน,Nong Saeng,41,จ. อุดรธานี,Udon Thani,17.422,102.993,อุดรธานี,หนองหาน
4,301501,ต. ในเมือง,Nai Mueang,3015,อ. พิมาย,Phimai,30,จ. นครราชสีมา,Nakhon Ratchasima,15.206,102.48899999999999,นครราชสีมา,พิมาย
4,570704,ต. ป่าซาง,Pa Sang,5707,อ. แม่จัน,Mae Chan,57,จ. เชียงราย,Chiang Rai,20.180999999999997,99.846,เชียงราย,แม่จัน
4,200703,ต. ทุ่งสุขลา,,2007,อ. ศรีราชา,Si Racha,20,จ. ชลบุรี,Chon Buri,13.097000000000001,100.912,ชลบุรี,ศรีราชา
4,480311,ต. เวินพระบาท,Woen Phrabat,4803,อ. ท่าอุเทน,Tha Uthen,48,จ. นครพนม,Nakhon Phanom,17.509,104.676,นครพนม,ท่าอุเทน
4,400103,ต. โคกสี,Khok Si,4001,อ. เมืองขอนแก่น,Mueang Khon Kaen,40,จ. ขอนแก่น,Khon Kaen,16.480999999999998,102.985,ขอนแก่น,เมืองขอนแก่น
4,321006,ต. ดม,Dom,3210,อ. สังขะ,Sangkha,32,จ. สุรินทร์,Surin,14.575,103.85600000000001,สุรินทร์,สังขะ
