พื้นที่,เนื้อที่ยืนต้น ให้ผลผลิต (ไร่),เนื้อที่ยืนต้น ยังไม่ให้ผลผลิต (ไร่),รวม (ไร่),ผลผลิตที่เก็บเกี่ยวได้ (กิโลกรัม)
เมืองนครศรีธรรมราช,"82,114.84","10,276.75","92,391.59","76,294,630.00"
พรหมคีรี,"167,632.50","4,823.00","172,455.50","19,654,086.00"
ลานสกา,"69,058.00","7,805.00","76,863.00","9,449,388.00"
ฉวาง,"124,343.02","15,788.89","140,131.91","38,615,452.65"
พิปูน,"85,899.50","21,143.00","107,042.50","27,581,878.36"
สะเดา,51,51,102,0
เชียรใหญ่,"71,517.00","11,007.00","82,524.00",0
ชะอวด,"148,053.00","4,646.00","152,699.00","455,233,217.50"
ท่าศาลา,"187,210.00","33,806.00","221,016.00","13,257,629.00"
ทุ่งสง,"155,243.00","36,772.00","192,015.00","34,226,148.87"
นาบอน,"58,718.00","22,486.00","81,204.00","26,869,175.05"
ทุ่งใหญ่,"174,726.25","22,772.50","197,498.75","5,955,139.08"
ปากพนัง,"73,473.00","27,861.54","101,334.54","354,792,062.09"
ร่อนพิบูลย์,"65,857.00","26,061.00","91,918.00","423,686,430.50"
สิชล,"180,674.81","88,885.63","269,560.44","166,298,129.96"
ขนอม,"65,317.50","28,624.00","93,941.50","32,891,661.00"
หัวไทร,"50,447.50","30,852.75","81,300.25","648,454,328.49"
บางขัน,"159,002.63","27,871.37","186,874.00","324,647,245.65"
ถ้ำพรรณรา,"111,741.00","3,163.00","114,904.00","25,542,119.15"
จุฬาภรณ์,"42,544.00","12,993.00","55,537.00","28,155,000.00"
พระพรหม,"28,396.00","9,447.00","37,843.00","145,128,807.05"
นบพิตำ,"135,627.00","5,232.00","140,859.00","23,954,430.00"
ช้างกลาง,"86,513.25","7,677.00","94,190.25","131,123,619.03"
สะเดา,22,18,40,0
เฉลิมพระเกียรติ,"27,993.00","17,097.00","45,090.00","426,279,940.00"
เมืองนครสวรรค์,"4,593.00","5,022.50","9,615.50","7,417,904.03"
โกรกพระ,"1,393.00","1,266.00","2,659.00","291,500.00"
ชุมแสง,"1,304.00","1,263.00","2,567.00","88,500.00"
สะเดา,0,80,80,0
หนองบัว,603,"3,357.00","3,960.00",0
บรรพตพิสัย,"2,845.75","1,737.75","4,583.50","3,654,057.34"
เก้าเลี้ยว,"1,020.00",35,"1,055.00","443,865.00"
ตาคลี,"4,681.00","2,233.00","6,914.00","17,853,085.04"
ท่าตะโก,253,187,440,"3,500.00"
ไพศาลี,482,235,717,"371,174.00"
พยุหะคีรี,"2,737.00","4,261.00","6,998.00","6,622,348.00"
ลาดยาว,"2,094.00","3,070.75","5,164.75","1,102,495.08"
ตากฟ้า,959,"1,685.25","2,644.25","261,720.00"
แม่วงก์,"5,887.20",937,"6,824.20","3,805,557.99"
แม่เปิน,"1,727.40",87.2,"1,814.60","1,060,150.00"
สะเดา,32,13,45,0
ชุมตาบง,466,959,"1,425.00","74,000.00"
เมืองนนทบุรี,659.82,"2,309.88","2,969.70","97,514.50"
